DATE;WAARDE
14-10-2013;17.8
15-10-2013;4.6
16-10-2013;5.3
17-10-2013;1.2
18-10-2013;0.3
19-10-2013;0
20-10-2013;6.8
21-10-2013;1.6
22-10-2013;0
23-10-2013;0
24-10-2013;0.2
25-10-2013;0.4
26-10-2013;0.2
27-10-2013;2.4
28-10-2013;9.7
29-10-2013;8.9
30-10-2013;5.2
31-10-2013;0.3
1-11-2013;0.2
2-11-2013;9.1
3-11-2013;2.4
4-11-2013;16.7
5-11-2013;6.3
6-11-2013;7.1
7-11-2013;8.2
8-11-2013;3.8
9-11-2013;7.6
10-11-2013;13.4
11-11-2013;1.4
12-11-2013;0.8
13-11-2013;1.3
14-11-2013;0
15-11-2013;8.3
16-11-2013;0
17-11-2013;0.6
18-11-2013;0
19-11-2013;3.2
20-11-2013;2.2
21-11-2013;10.1
22-11-2013;0
23-11-2013;0
24-11-2013;0.4
25-11-2013;1.3
26-11-2013;1.4
27-11-2013;0
28-11-2013;0.2
29-11-2013;0
30-11-2013;8.4
1-12-2013;0.6
2-12-2013;0
3-12-2013;0
4-12-2013;0
5-12-2013;0.7
6-12-2013;0.3
7-12-2013;1.4
8-12-2013;0.9
9-12-2013;0
10-12-2013;0
11-12-2013;0
12-12-2013;0
13-12-2013;0.4
14-12-2013;3.6
15-12-2013;0.8
16-12-2013;0
17-12-2013;0
18-12-2013;0.2
19-12-2013;6.1
20-12-2013;0.4
21-12-2013;0
22-12-2013;4.9
23-12-2013;3.2
24-12-2013;1.7
25-12-2013;11.5
26-12-2013;0
27-12-2013;0.2
28-12-2013;10.7
29-12-2013;2.1
30-12-2013;0
31-12-2013;0.8
1-1-2014;4.1
2-1-2014;2.3
3-1-2014;2.6
4-1-2014;7.3
5-1-2014;0.6
6-1-2014;0.4
7-1-2014;0.9
8-1-2014;3.2
9-1-2014;2.6
10-1-2014;0
11-1-2014;0
12-1-2014;0
13-1-2014;0
14-1-2014;0.3
15-1-2014;3.1
16-1-2014;5.4
17-1-2014;4.8
18-1-2014;5.1
19-1-2014;0.6
20-1-2014;0
21-1-2014;10.7
22-1-2014;0
23-1-2014;4.2
24-1-2014;5.8
25-1-2014;0
26-1-2014;4.6
27-1-2014;7.7
28-1-2014;0.9
29-1-2014;1.2
30-1-2014;0
31-1-2014;0
1-2-2014;11.2
2-2-2014;0
3-2-2014;0
4-2-2014;0
5-2-2014;1.2
6-2-2014;0.9
7-2-2014;8.9
8-2-2014;12.4
9-2-2014;1.4
10-2-2014;0.8
11-2-2014;0.2
12-2-2014;3.2
13-2-2014;3.6
14-2-2014;0.3
15-2-2014;7.3
16-2-2014;0.7
17-2-2014;0
18-2-2014;0
19-2-2014;1.2
20-2-2014;0
21-2-2014;8.6
22-2-2014;0.4
23-2-2014;0
24-2-2014;0
25-2-2014;0
26-2-2014;2.1
27-2-2014;0.2
28-2-2014;2.8
1-3-2014;4.6
2-3-2014;1.2
3-3-2014;1.4
4-3-2014;0.3
5-3-2014;0
6-3-2014;0
7-3-2014;0
8-3-2014;0.2
9-3-2014;0
10-3-2014;0
11-3-2014;0
12-3-2014;0
13-3-2014;0
14-3-2014;0
15-3-2014;0.1
16-3-2014;0
17-3-2014;0
18-3-2014;0
19-3-2014;0
20-3-2014;0
21-3-2014;12.2
22-3-2014;5.1
23-3-2014;2.4
24-3-2014;0.2
25-3-2014;0
26-3-2014;0
27-3-2014;0
28-3-2014;6.4
29-3-2014;0
30-3-2014;0
31-3-2014;0
1-4-2014;0
2-4-2014;0
3-4-2014;0
4-4-2014;0.2
5-4-2014;0
6-4-2014;0.8
7-4-2014;0.1
8-4-2014;12.8
9-4-2014;0.3
10-4-2014;0
11-4-2014;0
12-4-2014;0
13-4-2014;0
14-4-2014;0
15-4-2014;0
16-4-2014;0
17-4-2014;0
18-4-2014;2.3
19-4-2014;0
20-4-2014;0.2
21-4-2014;0
22-4-2014;0.1
23-4-2014;0
24-4-2014;1.3
25-4-2014;0.4
26-4-2014;1.8
27-4-2014;0
28-4-2014;0
29-4-2014;0.3
30-4-2014;1.1
1-5-2014;0
2-5-2014;1.9
3-5-2014;0
4-5-2014;0
5-5-2014;0
6-5-2014;0
7-5-2014;4.6
8-5-2014;1.2
9-5-2014;12.7
10-5-2014;4.3
11-5-2014;8.2
12-5-2014;4.5
13-5-2014;6.1
14-5-2014;2.5
15-5-2014;0
16-5-2014;0
17-5-2014;0
18-5-2014;0
19-5-2014;0
20-5-2014;0
21-5-2014;6.5
22-5-2014;0.4
23-5-2014;1.3
24-5-2014;0.3
25-5-2014;0.6
26-5-2014;0
27-5-2014;1.2
28-5-2014;18.1
29-5-2014;3.2
30-5-2014;0
31-5-2014;0
1-6-2014;0
2-6-2014;0
3-6-2014;0
4-6-2014;3.2
5-6-2014;25.4
6-6-2014;1.1
7-6-2014;0
8-6-2014;0.3
9-6-2014;14.2
10-6-2014;7.3
11-6-2014;1.7
12-6-2014;0
13-6-2014;0
14-6-2014;0
15-6-2014;0
16-6-2014;0
17-6-2014;0.4
18-6-2014;0
19-6-2014;0.9
20-6-2014;0.3
21-6-2014;0
22-6-2014;0
23-6-2014;0
24-6-2014;0
25-6-2014;0
26-6-2014;0
27-6-2014;0.3
28-6-2014;0.2
29-6-2014;1.6
30-6-2014;0.4
1-7-2014;0
2-7-2014;0
3-7-2014;0
4-7-2014;0
5-7-2014;2.3
6-7-2014;3.6
7-7-2014;5.4
8-7-2014;4.2
9-7-2014;12.6
10-7-2014;15.2
11-7-2014;0.3
12-7-2014;0.2
13-7-2014;4.8
14-7-2014;4.2
15-7-2014;0
16-7-2014;0
17-7-2014;0
18-7-2014;0
19-7-2014;0
20-7-2014;3.4
21-7-2014;0.6
22-7-2014;12.7
23-7-2014;0
24-7-2014;0
25-7-2014;0
26-7-2014;0
27-7-2014;0
28-7-2014;21.3
29-7-2014;5.4
30-7-2014;0
31-7-2014;0
1-8-2014;0
2-8-2014;0
3-8-2014;0
4-8-2014;0.2
5-8-2014;0
6-8-2014;0
7-8-2014;4.1
8-8-2014;28.8
9-8-2014;4.6
10-8-2014;0.2
11-8-2014;5.3
12-8-2014;6.4
13-8-2014;1.3
14-8-2014;3.3
15-8-2014;2.3
16-8-2014;1.9
17-8-2014;0.2
18-8-2014;2.6
19-8-2014;23.1
20-8-2014;0.9
21-8-2014;14.6
22-8-2014;0.3
23-8-2014;6.1
24-8-2014;3.5
25-8-2014;0.2
26-8-2014;43.4
27-8-2014;8.4
28-8-2014;0.3
29-8-2014;1.7
30-8-2014;7.6
31-8-2014;5.6
1-9-2014;0.7
2-9-2014;0.2
3-9-2014;0
4-9-2014;0
5-9-2014;0
