Volkerak_spuisluizen_gat2_gat3
* Q in miljoen m3 per dag
* period 2010 t/m 2018
*DATUM WAARDE
20120401 3.9936
20120402 3.9788
20120403 4.0693
20120404 3.8971
20120405 3.3136
20120406 4.3853
20120407 4.9936
20120408 4.6242
20120409 1.364
20120410 0.1317
20120411 0.0749
20120412 0.2004
20120413 0.0625
20120414 1.1536
20120415 0.7564
20120416 1.626
20120417 1.7096
20120418 2.8565
20120419 2.4705
20120420 0.825
20120421 0.0939
20120422 1.0203
20120423 1.8442
20120424 2.1665
20120425 1.9432
20120426 1.404
20120427 1.3238
20120428 1.5198
20120429 0.745
20120430 1.3298
20120501 1.3169
20120502 1.3592
20120503 1.55
20120504 1.6782
20120505 2.6497
20120506 3.0359
20120507 2.9847
20120508 4.1622
20120509 1.2422
20120510 0.8219
20120511 1.2478
20120512 0.9025
20120513 2.3807
20120514 0.9471
20120515 2.9282
20120516 1.1155
20120517 2.2531
20120518 0.0146
20120519 1.777
20120520 2.1892
20120521 2.6851
20120522 3.3567
20120523 1.9476
20120524 2.9412
20120525 3.925
20120526 4.699
20120527 3.6177
20120528 2.6524
20120529 3.0848
20120530 3.2561
20120531 2.8837
20120601 0.4759
20120602 0.3592
20120603 1.679
20120604 0.4577
20120605 2.7287
20120606 2.959
20120607 2.7013
20120608 2.1064
20120609 3.2617
20120610 3.2257
20120611 2.8876
20120612 2.7139
20120613 1.339
20120614 1.5939
20120615 2.4289
20120616 2.8593
20120617 2.4557
20120618 3.1664
20120619 4.9083
20120620 4.3413
20120621 0.7128
20120622 3.5484
20120623 5.2245
20120624 4.5937
20120625 0.1982
20120626 2.8627
20120627 4.3742
20120628 1.5538
20120629 2.1835
20120630 3.4287
20120701 3.1813
20120702 2.9411
20120703 3.3767
20120704 2.7583
20120705 2.305
20120706 1.1293
20120707 0.0863
20120708 0.1058
20120709 2.2339
20120710 0.8071
20120711 0.8067
20120712 1.3415
20120713 0.6307
20120714 2.4555
20120715 2.6431
20120716 1.0816
20120717 0.1262
20120718 0.1661
20120719 0.1904
20120720 0.8167
20120721 0.0455
20120722 0.1046
20120723 0.0587
20120724 0.0312
20120725 0.0138
20120726 1.6573
20120727 1.802
20120728 1.3476
20120729 0.1705
20120730 0.1063
20120731 0.0709
20120801 0.9513
20120802 0.1882
20120803 0.1422
20120804 0.0966
20120805 0.0724
20120806 0.1741
20120807 0.1708
20120808 0.0727
20120809 0.0226
20120810 1.9216
